Board,List,Card Name,Description,Labels,Due
NEW BALI,Backlog,RESEARCH SIARGAO COWORKING,Surf town. Up-and-coming. Expensive but growing.,🔵 Learning,
NEW BALI,Backlog,FIND PROPERTY PARTNERS,2-3 options in each location.,🔵 Learning,
NEW BALI,Backlog,VISIT PHILIPPINES,Go see for yourself.,🔵 Learning,
NEW BALI,Backlog,NEGOTIATE PARTNERSHIP TERMS,Revenue share or flat fee?,⚪ Someday,
NEW BALI,Backlog,BUILD LANDING PAGE,For nomads. "Come work from Paradise.",⚪ Someday,
NEW BALI,Backlog,LAUNCH PILOT,3 nomads first. Prove it works.,🔵 Learning,
NEW BALI,DONE,RESEARCH 8 PHILIPPINES DESTINATIONS,Bohol, Panglao, Dumaguete, Siargao, Cebu, Palawan, Siquijor, Camiguin.,🟢 Easy win,DONE
NEW BALI,DONE,IDENTIFY TOP 3,Bohol/Panglao, Dumaguete, Siargao.,🟢 Easy win,DONE
NEW BALI,DONE,IDENTIFY UNDER-THE-RADAR OPTIONS,Lombok, Pokhara, Kampot, Nha Trang, Zanzibar, Yerevan.,🟢 Easy win,DONE
INFRASTRUCTURE,Today,INSTALL DUXSOUP CHROME EXTENSION,LinkedIn automation. Free tier.,🔴 Urgent,
INFRASTRUCTURE,Today,SET UP NOTION WORKSPACE,Create account if not done.,🔴 Urgent,
INFRASTRUCTURE,Today,CREATE PISCO PIPELINE TABLE,In Notion. Track all prospects.,🔴 Urgent,
INFRASTRUCTURE,Today,CREATE POD MEMBERS TABLE,In Notion. Track members.,🔴 Urgent,
INFRASTRUCTURE,Backlog,DEPLOY N8N ON RAILWAY,Connect Telegram, Notion, SendGrid. Free.,🔵 Learning,
INFRASTRUCTURE,Backlog,CONNECT TELEGRAM TO N8N,Webhook. Trigger workflows from chat.,🔵 Learning,
INFRASTRUCTURE,Backlog,CONFIGURE SEMANTIC MEMORY SEARCH,"Find ""Javier"" across all files instantly.",🔵 Learning,
INFRASTRUCTURE,Backlog,SET UP APOLLO.IO,When have $99/mo. Full sales intelligence.,⚪ Someday,
INFRASTRUCTURE,Backlog,SET UP PHANTOMBUSTER,When have $99/mo. Full LinkedIn automation.,⚪ Someday,
INFRASTRUCTURE,Backlog,CONNECT BROWSERBASE,When have $29/mo. AI browser actions.,⚪ Someday,
INFRASTRUCTURE,Backlog,BUILD DAILY BRIEFING AUTOMATION,n8n + Telegram. Morning briefing at 8 AM.,🔵 Learning,
INFRASTRUCTURE,Backlog,BUILD WEEKLY REVIEW AUTOMATION,n8n + Telegram. Sunday night review.,🔵 Learning,
INFRASTRUCTURE,DONE,INSTALL OPENCLAW ON RAILWAY,Railway + Telegram + OpenRouter.,🟢 Easy win,DONE
INFRASTRUCTURE,DONE,SET UP SENDGRID EMAIL,tools/send_email.py working.,🟢 Easy win,DONE
INFRASTRUCTURE,DONE,SET UP GIT BACKUP,github.com/jordanjayhays-cpu/openclaw-agent,🟢 Easy win,DONE
INFRASTRUCTURE,DONE,CREATE SKILLS,(research, outreach, project_tracker, content_brainstorm),🟢 Easy win,DONE
INFRASTRUCTURE,DONE,INSTALL 12 SKILLS FROM CLAWHUB,Email, calendar, notion, github, cron, etc.,🟢 Easy win,DONE
INFRASTRUCTURE,DONE,CREATE MEMORY SYSTEM,AUTONOMOUS.md, SECURITY.md, contacts/CONTEXT.md,🟢 Easy win,DONE
JORDAN LIFE,Today,ATTEND NOMAD MEETUP,Go. Network. Test pitches.,🔴 Urgent,
JORDAN LIFE,Today,EXERCISE,Mental health. Physical health.,🟡 Important,
JORDAN LIFE,Today,SLEEP ENOUGH,No more 1-2 AM sessions.,🔴 Urgent,
JORDAN LIFE,Backlog,FINISH IE MBA,7 months left. Graduate.,🔵 Learning,
JORDAN LIFE,Backlog,BUILD 3 LOCATION-INDEPENDENT PROJECTS,PISCO ✅, COMARE 🔄, Europe 📋,🔵 Learning,
JORDAN LIFE,Backlog,HIT $1K/MONTH REVENUE,First milestone. Prove the model.,🔵 Learning,
JORDAN LIFE,Backlog,VISIT MANILA (PISCO),Meet Placewell team.,⚪ Someday,
JORDAN LIFE,Backlog,VISIT MEXICO CITY (COMARE),Meet COMARE team.,⚪ Someday,
JORDAN LIFE,Backlog,HIRE VA,When revenue $3K+/mo. Delegate admin.,⚪ Someday,
JORDAN LIFE,Backlog,LAUNCH YOUTUBE CHANNEL PROPERLY,Consistent uploads. Grow to 100 subs.,⚪ Someday,
JORDAN LIFE,DONE,FIND CLAW (OPENCLAW),Personal AI agent. This.,🟢 Easy win,DONE
JORDAN LIFE,DONE,DEFINE 3 PROJECTS,PISCO, COMARE, Europe.,🟢 Easy win,DONE
JORDAN LIFE,DONE,NAME CLAW 🦞,Philosophical King. Consciousness Pod.,🟢 Easy win,DONE
